interval_start,fueltech,fueltech_label,power_mw,year,hour,month,day
2024-08-15 07:00:00,battery,Battery,13.442742,2024,7,8,15
2024-08-15 08:00:00,battery,Battery,-13.262217,2024,8,8,15
2024-08-15 09:00:00,battery,Battery,-7.44875,2024,9,8,15
2024-08-15 10:00:00,battery,Battery,-27.460875,2024,10,8,15
2024-08-15 11:00:00,battery,Battery,-28.792033,2024,11,8,15
2024-08-15 12:00:00,battery,Battery,-21.033633,2024,12,8,15
2024-08-15 13:00:00,battery,Battery,-30.907383,2024,13,8,15
2024-08-15 14:00:00,battery,Battery,-13.454783,2024,14,8,15
2024-08-15 15:00:00,battery,Battery,0.119933,2024,15,8,15
2024-08-15 16:00:00,battery,Battery,-0.154917,2024,16,8,15
2024-08-15 17:00:00,battery,Battery,17.648842,2024,17,8,15
2024-08-15 18:00:00,battery,Battery,54.87515,2024,18,8,15
2024-08-15 19:00:00,battery,Battery,36.73175,2024,19,8,15
2024-08-15 20:00:00,battery,Battery,0.826225,2024,20,8,15
2024-08-15 21:00:00,battery,Battery,-18.184758,2024,21,8,15
2024-08-15 22:00:00,battery,Battery,18.326008,2024,22,8,15
2024-08-15 23:00:00,battery,Battery,5.157842,2024,23,8,15
2024-08-16 00:00:00,battery,Battery,-3.63025,2024,0,8,16
2024-08-16 01:00:00,battery,Battery,-0.425267,2024,1,8,16
2024-08-16 02:00:00,battery,Battery,-18.475717,2024,2,8,16
2024-08-16 03:00:00,battery,Battery,-4.302308,2024,3,8,16
2024-08-16 04:00:00,battery,Battery,0.031817,2024,4,8,16
2024-08-16 05:00:00,battery,Battery,-0.106383,2024,5,8,16
2024-08-16 06:00:00,battery,Battery,6.1798,2024,6,8,16
2024-08-16 07:00:00,battery,Battery,11.337333,2024,7,8,16
2024-08-16 08:00:00,battery,Battery,-0.801975,2024,8,8,16
2024-08-16 09:00:00,battery,Battery,-4.353792,2024,9,8,16
2024-08-16 10:00:00,battery,Battery,-0.972958,2024,10,8,16
2024-08-16 11:00:00,battery,Battery,-37.25585,2024,11,8,16
2024-08-16 12:00:00,battery,Battery,-36.818892,2024,12,8,16
2024-08-16 13:00:00,battery,Battery,-24.722292,2024,13,8,16
2024-08-16 14:00:00,battery,Battery,-19.8163,2024,14,8,16
2024-08-16 15:00:00,battery,Battery,-19.71925,2024,15,8,16
2024-08-16 16:00:00,battery,Battery,-1.199442,2024,16,8,16
2024-08-16 17:00:00,battery,Battery,11.527725,2024,17,8,16
2024-08-16 18:00:00,battery,Battery,50.774767,2024,18,8,16
2024-08-16 19:00:00,battery,Battery,44.7043,2024,19,8,16
2024-08-16 20:00:00,battery,Battery,7.602833,2024,20,8,16
2024-08-16 21:00:00,battery,Battery,-2.774067,2024,21,8,16
2024-08-16 22:00:00,battery,Battery,1.810275,2024,22,8,16
2024-08-16 23:00:00,battery,Battery,-5.087017,2024,23,8,16
2024-08-17 00:00:00,battery,Battery,-1.874067,2024,0,8,17
2024-08-17 01:00:00,battery,Battery,11.457267,2024,1,8,17
2024-08-17 02:00:00,battery,Battery,2.648817,2024,2,8,17
2024-08-17 03:00:00,battery,Battery,-2.079417,2024,3,8,17
2024-08-17 04:00:00,battery,Battery,-3.190258,2024,4,8,17
2024-08-17 05:00:00,battery,Battery,2.766008,2024,5,8,17
2024-08-17 06:00:00,battery,Battery,0.264058,2024,6,8,17
2024-08-17 07:00:00,battery,Battery,-0.208333,2024,7,8,17
2024-08-17 08:00:00,battery,Battery,-0.679575,2024,8,8,17
2024-08-17 09:00:00,battery,Battery,-14.6115,2024,9,8,17
2024-08-17 10:00:00,battery,Battery,-29.887433,2024,10,8,17
2024-08-17 11:00:00,battery,Battery,-44.894258,2024,11,8,17
2024-08-17 12:00:00,battery,Battery,-37.864442,2024,12,8,17
2024-08-17 13:00:00,battery,Battery,-13.922192,2024,13,8,17
2024-08-17 14:00:00,battery,Battery,-5.930208,2024,14,8,17
2024-08-17 15:00:00,battery,Battery,-0.515858,2024,15,8,17
2024-08-17 16:00:00,battery,Battery,-1.6185,2024,16,8,17
2024-08-17 17:00:00,battery,Battery,1.175733,2024,17,8,17
2024-08-17 18:00:00,battery,Battery,43.317733,2024,18,8,17
2024-08-17 19:00:00,battery,Battery,33.938042,2024,19,8,17
2024-08-17 20:00:00,battery,Battery,1.333167,2024,20,8,17
2024-08-17 21:00:00,battery,Battery,8.096333,2024,21,8,17
2024-08-17 22:00:00,battery,Battery,4.068275,2024,22,8,17
2024-08-17 23:00:00,battery,Battery,-0.025775,2024,23,8,17
2024-08-18 00:00:00,battery,Battery,0.605025,2024,0,8,18
2024-08-18 01:00:00,battery,Battery,1.831242,2024,1,8,18
2024-08-18 02:00:00,battery,Battery,5.136775,2024,2,8,18
2024-08-18 03:00:00,battery,Battery,4.005533,2024,3,8,18
2024-08-18 04:00:00,battery,Battery,2.208342,2024,4,8,18
2024-08-18 05:00:00,battery,Battery,7.85755,2024,5,8,18
2024-08-18 06:00:00,battery,Battery,0.530758,2024,6,8,18
2024-08-18 07:00:00,battery,Battery,-0.745808,2024,7,8,18
2024-08-18 08:00:00,battery,Battery,-6.23765,2024,8,8,18
2024-08-18 09:00:00,battery,Battery,-23.305292,2024,9,8,18
2024-08-18 10:00:00,battery,Battery,-2.676075,2024,10,8,18
2024-08-18 11:00:00,battery,Battery,-32.9856,2024,11,8,18
2024-08-18 12:00:00,battery,Battery,-33.538542,2024,12,8,18
2024-08-18 13:00:00,battery,Battery,-27.197333,2024,13,8,18
2024-08-18 14:00:00,battery,Battery,-19.473883,2024,14,8,18
2024-08-18 15:00:00,battery,Battery,-2.297867,2024,15,8,18
2024-08-18 16:00:00,battery,Battery,-0.617267,2024,16,8,18
2024-08-18 17:00:00,battery,Battery,0.194467,2024,17,8,18
2024-08-18 18:00:00,battery,Battery,41.996875,2024,18,8,18
2024-08-18 19:00:00,battery,Battery,33.914508,2024,19,8,18
2024-08-18 20:00:00,battery,Battery,37.692717,2024,20,8,18
2024-08-18 21:00:00,battery,Battery,-9.037642,2024,21,8,18
2024-08-18 22:00:00,battery,Battery,-8.27475,2024,22,8,18
2024-08-18 23:00:00,battery,Battery,0.072433,2024,23,8,18
2024-08-19 00:00:00,battery,Battery,-3.798083,2024,0,8,19
2024-08-19 01:00:00,battery,Battery,-7.498675,2024,1,8,19
2024-08-19 02:00:00,battery,Battery,-16.273133,2024,2,8,19
2024-08-19 03:00:00,battery,Battery,-0.08055,2024,3,8,19
2024-08-19 04:00:00,battery,Battery,-0.083842,2024,4,8,19
2024-08-19 05:00:00,battery,Battery,-0.290325,2024,5,8,19
